address,balance
r46SUhCzyGE4KwBnKQ6LmDmJcECCqdKy4q,54979349939.0
rsw1ujCSAmmFDc1CpxMnxEhWVP2Z1mo7kN,21200000010.0
rwFaFPW7FSfQdiutvjXdgKaZP9j3rjHa7G,19219215706.0
rJmuEj41K5x8dY5dKkTzszVxCycntEoyYw,3076923082.0
rKvbXkvheYohXkwuwFgeqw5ZVXE8W31tTH,250037602.05
rM9HDVyvrtLtEq8tB5TL5GPBpvpw79Xbba,153846265.0
rK97QScvMbx7KSCSeqWUjMKXtcgM2UMvtD,153846163.0
rfxzpKUSFXEpj6VxTr8EPJGgDxZgGJM6YQ,153846154.0
rBvzF3yALrRfPFAEK6ygZbRsdAriUF9PpD,115384624.0
rHWmH6GjaVWhMoXSuq11juqPWFufmVEteT,76923088.0
r9wsgt9CBhC2R6Sq7YwGfKUM8ojw9EY7j5,76923083.0
rpPmnqpkrQ5hSdUDZ1gWNnbQsQmz9JNvwb,76923080.0
rdnRzVhTX4wHz31RQzLAjRYVqYVMLvSqX,76923079.0
rGwVTJqEcUmdPXrTtJf2d7uR75UfUwhvKM,46153949.0
rHwgVWo7AQPQizCHNQKUYcHajxxH3j9qkg,38461541.0
rJN5fhHUnfpmB2DieVd7in5EQdgV2986q7,38461541.0
rUBpviypUHcpXrTh1SL76dbF7ArsZWVM7,38461540.0
rf1QSqAYDf3rcoKRvEsvcjS5VJUrK4Cvvj,38461539.0
rP7F2sGqXVvBGf68cJiGcePUELfHozD4EZ,38461539.0
ra7oF4GVeFRRQRGjfLh3z3hghMp1RtEtQd,38461538.0
rGiWbbmWzJbF17FEwfSguuwvbPPByomuKT,30769233.0
rGUCLsCDMaLMdBMhLNCS81ToPzWz97o6zv,15384615.0
rh6Ti7FqyTswLSECxS3L9yTpbvnpZjwsa6,15384615.0
rPJQWB7AQp5HG5pkABxKqH1Tfvr7ULfEs,15384615.0
r4MWXRPbp9TZpGmEx3Ytm3ScnojuPUqNuU,15384615.0
rpoKD6Ye3aE31AHWFfxMc2kxx3mjGtah4X,10399999.0
rPAXsJ28qqvDodmNxd7NJKqkvu2Anf1Dib,6000007.0
r4yc85M1hwsegVGZ1pawpZPwj65SVs8PzD,1190192.99949
rPLpK9KKmjYzPQ8Faem7BRwfpQfCe9zrHS,233813.0
r3GBuQxRfNWVyUkydkjNsDn31DTJsqNyme,144306.0
rE9sXBx4TscHKBd67idRJN4AfA4dV1QCHR,129389.99999
rNTuZK66KQfWiwwBucvjXsonf5iD1BQJyH,101453.0
rs1yY1qVJ4ddvPXQs86EYW1HC3QdWu7NFo,95726.0
rMh3gsTKvLEpiucuxdkTybGE6A2tv9CLHE,78919.0
rEHGKt3Wr5JyJhgy2j38Ek27F8NGhQvkfB,77569.0
rLvH7pxCCee7kFJo2Cn6NQy8GS33RHXk3U,72018.0
rwonaUde5Vaa8mqnhqEgA29gcCfrv7qS9p,63859.0
rMm27Xh1JzGL4evVS1ZB1H25JpJapodSL1,62620.0
rJ1mBMhEBKack5uTQvM8vWoAntbufyG9Yn,61492.99922
rfDc49UxDkGm8AibyvrG4z2oSLPDtBF6dX,59559.0
rwmzXrN3Meykp8pBd3Boj1h34k8QGweUaZ,52708.0
r3xFx9iFu6VQ9Bu5GqrPYvarq2QpmyumYw,51000.0
raEWdkdedcQjVbVqsafKnBURQysBggwE5F,50040.0
r9UHYxYbeP29r7hLDg4eWSv85CC2sBL8Sz,46281.0
rh6F27a9XG3fttsdYZ9XsksDZFK4x1qAb1,43493.0
rGVzFTK1H9iNo3C2MDyx6M6K4tfs4PocPA,39721.0
r3iwc3KTjQ1ye6S1RbbctXbLDS5iB2BWX4,37696.0
rpo5tVeCqigav9ZBpmPvYWeSBExSbYAK3c,34802.0
rJNFjZZkEWYBYDGuR95MKh5o6Jzqy7tpWQ,32878.0
rGP9De7X1yVMRKPYzc3SnStUxbUf55QkQq,31805.0
rPWD8aoBvP55T6mPSwxSPC52J2eN14PoHe,31773.1
rfaos4kYK9c3DznjKkXUheEQizfJP5hD9E,30477.0
rLiqoRjzk2ZCjfYpkgDwjvHKTLBu9xCKyk,30346.0
rEc8YknSJ3xoKV6K59AKg3oSxi2tL22neF,29466.0
rsxnmXubBR8U3q7rdx8Z1JQk1hzV4WwZgJ,27918.0
rnN5TcZeiD3XboB27yC13PBCccdJeYksyv,27550.0
rfcZsUJQFCx7vymVZQuGdUoc7vvp4pDXNN,27170.99995
rEpWDLjoZKjsEKzbGT1fv7ZKMoo1qYX34c,27129.0
rKDYJt9gee8dGVadu6kb3vdBVTdiQRbcHP,27057.0
rN4oerWfK6kRqiDvXPWCcHb1MMosgmrrRe,26784.0
r92ThHHvnNr7867tsPj4pohjH3KnyFQdvm,26686.0
rPxVhJD7TmYbBuxfVxbNvB98sBDQSVKUtj,26466.0
rU6mC9d9Sod4VCYQaUPfiXAaHfKfxcuW1d,26113.0
rURCP7Wuh2QR69YTjyF4Yg82ozRiKCY3G7,25637.0
rB4GTBkM4yfR5StaRMJeSj1V9xS61yLrRg,25000.0
rpPJqobqV5eo3nvwZdQJahmDG1Wi4LTNoN,24424.0
rM5b6xrkyZiQUb66a6vPqBAGveEP3rqZ23,24105.0
rM1NxtRXYU8g82yk26dMSzQwEVEwNW6npc,23402.0
rK1BB78XRxJzZzSZRXmWhhnUoWTLGvj32M,22811.1
rHEoZ2RDD8EmZUhCuPN5XS3FN4qJDC3imZ,22644.0
rDTnknxR9ZQPYTWv9Ue3K3XJx3aQVkj2oK,21275.0
rUCSd4vhnpjrVje2T2pa8EDyX1duW15HJr,20394.0
rhRCkQjPf14DyszYXKtUXYYVxBjWutL6GA,20251.0
r9vULW9zhp3FTpVzwKCit3v2fvFN5eSoJo,20032.0
rMKPxHRYJtjCU4czP3XeWKQUcS57mLwaqa,19774.0
rNo2vs2PzdFdvPe6jspahzWeuMoqTCBSgJ,19147.0
r42KeeszWPADShxD1ymn8SyHSrty8R1t6f,18727.0
rP9iAsy9B4NSMANnEzxRuxjBCfTseeHDen,17350.0
rGQNJqJgLs2RdVVFGz5wq1a4SCdfZt1hi4,17249.0
rMPRhiuQDKLeKzTF2A4oVuQEa4JPpPN3ws,15955.0
rNyYEwGvNUP66qResZ2ugXgCrHa942b1df,14548.0
rMoWUGrfCA3XSWptygyzdWuoGjcrQpNDaL,13555.0
rPmVnsbam21NH83noMFJokgua7ULNA1b9E,13535.0
rsLT7A7ujjvJ5akHthg3d962XAXtgLX6cp,13350.0
rH35dmTNoxaPf1xCq7EtnvKa51VLbh6YhG,13067.0
rwGFgV2fc3xEpt6BfYksz6ib12tE5bi5Yk,13045.0
