day,circulating_supply
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,100000000000.0
14,100000000000.0
15,100000000000.0
16,100000000000.0
17,100000000000.0
18,100000000000.0
19,100000000000.0
20,100000000000.0
21,100000000000.0
22,2491.0
23,9823.0
24,13175.0
25,25035.0
26,46497.0
27,54126.0
28,54343.0
29,57010.0
30,59698.0
31,62740.0
32,65584.0
33,71266.0
34,74104.0
35,79798.0
36,79789.0
37,79789.0
38,96106.0
39,104335.0
40,104332.0
41,104332.0
42,109714.0
43,109714.0
44,111143.0
45,124217.0
46,127381.0
47,127381.0
48,127429.0
49,132897.0
50,132894.0
51,132894.0
52,139329.0
53,139473.0
54,139470.0
55,143920.0
56,143911.0
57,143911.0
58,143908.0
59,146755.0
60,150913.0
61,159142.0
62,159139.0
63,164590.0
64,170278.0
65,172972.0
66,174385.0
67,182764.0
68,189262.0
69,192094.0
70,200320.0
71,203014.0
72,205858.0
73,214231.0
74,214231.0
75,216775.0
76,216769.0
77,219613.0
78,219610.0
79,227845.0
80,227845.0
81,233386.0
82,239050.0
83,239050.0
84,239050.0
85,239050.0
86,239047.0
87,239047.0
88,1001890.0
89,1001890.0
90,1001890.0
91,1001890.0
92,1001890.0
93,1001890.0
94,1001890.0
95,1001890.0
96,1001890.0
97,1001890.0
98,1001890.0
99,1001890.0
100,1001890.0
101,1001890.0
102,1001890.0
103,1001890.0
104,1001890.0
105,1001890.0
106,1001890.0
107,1001890.0
108,1001890.0
109,1001890.0
110,1001890.0
111,1001890.0
112,1001890.0
113,1001890.0
114,1001890.0
115,1001890.0
116,1001890.0
117,1001890.0
118,1001890.0
119,1001890.0
120,1001890.0
121,1001890.0
122,1001890.0
123,1001910.0
124,1001910.0
125,1001910.0
126,1001910.0
127,1001910.0
128,1001910.0
129,1001910.0
130,1001910.0
131,1001910.0
132,1001910.0
133,1001910.0
134,1001910.0
135,1001910.0
136,1001910.0
137,1001910.0
138,1001910.0
139,1001910.0
140,1001910.0
141,1001910.0
142,1001910.0
143,1001910.0
144,1001910.0
145,1001910.0
146,1001910.0
147,1001910.0
148,1001910.0
149,1001910.0
150,1001910.0
151,1001910.0
152,1001910.0
153,1001910.0
154,1001910.0
155,1001910.0
156,1001910.0
157,1001910.0
158,1001910.0
159,1001910.0
160,1001910.0
161,1001910.0
162,1001910.0
163,1001910.0
164,1001910.0
165,1001910.0
166,1001910.0
167,1001910.0
168,1001910.0
169,1001910.0
170,1001955.0
171,1001910.0
172,1001988.0
173,1001991.0
174,1001931.0
175,1001910.0
176,1002084.15
177,1001925.15
178,1001968.15
179,1001925.15
180,1001955.15
181,1002022.15
182,1002022.15
183,1002032.15
184,1002089.15
185,1002089.15
186,1002089.15
187,1002092.15
188,41001958.15
189,41001958.15
190,41001958.15
191,41001958.15
192,41001958.15
193,41001971.15
194,41001971.15
195,41001958.15
196,41002016.15
197,41002016.15
198,41002016.15
199,41028999.15
200,41091642.15
201,41136079.15
202,41160670.15
203,41201421.15
204,41267124.15
205,41325523.15
206,41370871.15
207,41437066.15
208,41460607.15
209,41489653.15
210,41002016.15
211,41002016.15
212,41002016.15
213,41002016.15
214,41002016.15
215,41002016.15
216,113841002076.15
217,114091002075.15
218,114091002075.15
219,114091002075.15
220,114091002075.15
221,114091002075.15
222,114091002075.15
223,114091002075.15
224,114091002075.15
225,114091002075.15
226,114091002075.15
227,114091002075.15
228,114091002075.15
229,114091002095.15
230,114091002095.15
231,114091002075.15
232,114091002818.15
233,114091002821.15
234,114091002078.15
235,114091002078.15
236,114091002078.15
237,114091002069.15
238,114091002069.15
239,114091002069.15
240,114091002069.15
241,114091002069.15
242,114091002069.15
243,114091002069.15
244,114091002069.15
245,114091029802.15
246,114091081355.15
247,114091159497.15
248,114091267139.15
249,114091352937.15
250,114091395885.15
251,114091481815.15
252,114091580095.15
253,114091667251.15
254,114091002536.15
255,114091003371.15
256,114091010789.15
257,114091011150.15
258,114091010789.15
259,114091010789.15
260,114091010801.15
261,114091010801.15
262,114091011696.15
263,114091011699.15
264,114091012005.15
265,114091012005.15
266,114091012005.15
267,114091011575.15
268,114091011575.15
269,114091011575.15
270,114091011575.15
271,114091011575.15
