day,active_address_count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,4
14,2
15,2
16,4
17,3
18,2
19,2
20,2
21,0
22,5
23,6
24,4
25,7
26,7
27,5
28,6
29,3
30,3
31,5
32,5
33,6
34,5
35,6
36,3
37,3
38,4
39,6
40,5
41,4
42,5
43,3
44,4
45,4
46,6
47,6
48,5
49,7
50,2
51,0
52,3
53,2
54,2
55,3
56,5
57,0
58,2
59,2
60,5
61,6
62,5
63,6
64,3
65,3
66,8
67,6
68,5
69,5
70,5
71,3
72,3
73,5
74,5
75,5
76,6
77,4
78,3
79,3
80,2
81,3
82,5
83,4
84,2
85,2
86,4
87,3
88,8
89,5
90,4
91,2
92,4
93,2
94,5
95,5
96,3
97,3
98,4
99,3
100,4
101,5
102,5
103,3
104,3
105,0
106,2
107,5
108,3
109,3
110,4
111,5
112,4
113,2
114,6
115,11
116,7
117,7
118,6
119,5
120,4
121,5
122,4
123,5
124,5
125,4
126,2
127,2
128,6
129,7
130,5
131,7
132,6
133,2
134,5
135,5
136,2
137,5
138,5
139,2
140,0
141,2
142,2
143,4
144,5
145,2
146,0
147,0
148,0
149,4
150,2
151,4
152,2
153,5
154,0
155,2
156,2
157,4
158,2
159,2
160,5
161,3
162,4
163,5
164,5
165,5
166,6
167,4
168,17
169,15
170,13
171,12
172,15
173,9
174,11
175,10
176,13
177,11
178,15
179,14
180,16
181,10
182,16
183,14
184,17
185,12
186,14
187,12
188,13
189,11
190,12
191,10
192,15
193,18
194,9
195,10
196,19
197,13
198,16
199,21
200,21
201,15
202,11
203,19
204,18
205,21
206,16
207,17
208,14
209,11
210,16
211,14
212,15
213,10
214,13
215,10
216,17
217,25
218,19
219,18
220,20
221,20
222,10
223,20
224,23
225,21
226,25
227,17
228,19
229,15
230,14
231,20
232,20
233,21
234,11
235,10
236,5
237,18
238,13
239,5
240,9
241,18
242,22
243,11
244,22
245,17
246,35
247,40
248,44
249,37
250,24
251,41
252,45
253,48
254,43
255,34
256,36
257,49
258,53
259,44
260,50
261,50
262,40
263,27
264,30
265,23
266,41
267,36
268,14
269,13
270,4
271,7
272,9
273,9
274,7
275,4
276,3
277,0
278,4
279,6
280,9
281,5
282,61
283,4
284,20
285,16
286,8
287,24
288,30
289,27
290,23
291,29
292,38
293,36
294,45
295,41
296,32
297,31
298,35
299,41
300,38
301,30
302,23
303,28
304,23
305,27
306,41
307,42
308,43
309,28
310,26
311,24
312,24
313,25
314,25
315,26
316,24
317,15
318,16
319,22
320,23
321,19
322,19
323,23
324,18
325,15
326,19
327,27
328,17
329,31
330,32
331,17
332,22
333,26
334,32
335,33
336,29
337,33
338,20
339,25
340,30
341,26
342,31
343,28
344,32
345,22
346,23
347,32
348,32
349,31
350,30
351,30
352,23
353,20
354,29
355,31
356,29
357,31
358,19
359,26
360,27
361,27
362,34
363,35
364,34
365,16
366,29
367,34
368,29
369,18

